stringdecomposer	misassemblies	group	orientation	contig_length
./data/hprc/stringdecomposer/HG03710_mat-0000026.cen.tsv	-	0	+	25938864
./data/hprc/stringdecomposer/HG03710_tig00000001.tsv	-	1	+	340560
